Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Justification
trello_backend,_G02.trello.signup.model,UserModel,UserModel,Long Parameter List,The method has 8 parameters. ,102,These parameters are required to initialize the constructor for a user
trello_backend,_G02.trello.signup.service,SecurityQuestionService,getSecurityQuestionById,Long Statement,"The length of the statement ""return securityQuestionRepository.findById(id).orElseThrow(() -> new IllegalArgumentException(""Invalid question ID: "" + id));"" is 125.",36,Refactored
trello_backend,_G02.trello.signup.service,UserService,passwordValidation,Magic Number,The method contains a magic number: 8,25,The number 8 is the minimum size that the password is required to be  
trello_backend,_G02.trello.signup.service,UserService,checkAnswer,Complex Method,Cyclomatic complexity of the method is 8,138,Refactored
trello_backend,_G02.trello.task.model,TaskModel,TaskModel,Long Parameter List,The method has 8 parameters. ,34,These parameters are required to initialize the constructor for a task
trello_backend,_G02.trello.task.service,ITaskService,updateTask,Long Parameter List,The method has 6 parameters. ,14,Refactored
trello_backend,_G02.trello.task.service,TaskServiceImpl,updateTask,Long Parameter List,The method has 6 parameters. ,45,Refactored
trello_backend,_G02.trello,BoardServiceTest,testAddTaskToBoard,Magic Number,The method contains a magic number: 2L,61,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,BoardServiceTest,testGetTasksByBoardId,Magic Number,The method contains a magic number: 2L,83,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,BoardServiceTest,testGetTasksByBoardId,Magic Number,The method contains a magic number: 2,83,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,BoardServiceTest,testDeleteTaskFromBoard,Magic Number,The method contains a magic number: 2L,103,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,BoardServiceTest,testDeleteTaskFromBoard_NotFoundTask,Magic Number,The method contains a magic number: 2L,128,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,BoardServiceTest,testGetAllBoards,Magic Number,The method contains a magic number: 2,195,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,testUpdateTask,Magic Number,The method contains a magic number: 2,66,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,testUpdateTask_NotFound,Long Statement,"The length of the statement ""assertThrows(IllegalStateException.class`() -> taskService.updateTask(taskId`taskStatus`newIndex`newName`newDescription`newDueDate));"" is 133.",92,Refactored 
trello_backend,_G02.trello,TaskServiceTest,testUpdateTask_NotFound,Magic Number,The method contains a magic number: 2,92,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,testGetAllTasks,Magic Number,The method contains a magic number: 2,127,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,assignTaskToMember_successful,Magic Number,The method contains a magic number: 100,136,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,assignTaskToMember_successful,Magic Number,The method contains a magic number: 100,136,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,assignTaskToMember_successful,Magic Number,The method contains a magic number: 100,136,The number is given for the purpose of testing the functionality of that function.
trello_backend,_G02.trello,TaskServiceTest,assignTaskToMember_successful,Magic Number,The method contains a magic number: 100,136,The number is given for the purpose of testing the functionality of that function.
